municipality,municipality_id,district,district_id,supply_demand_year,typology,layout,total_supply,SHAPE_Length,SHAPE_Area
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,2 beds,1303,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,3 beds,780,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,4 beds,751,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,5 beds,579,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,All beds,7006,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,Undefined,1822,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,2 beds,1243,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,3 beds,449,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,4 beds,124,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,All beds,4850,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,Undefined,1293,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,2 beds,60,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,3 beds,331,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,4 beds,627,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,5 beds,579,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,All beds,2156,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,Undefined,529,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,2 beds,1302,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,3 beds,778,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,4 beds,750,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,5 beds,586,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,All beds,7031,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,Undefined,1843,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,2 beds,1243,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,3 beds,449,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,4 beds,124,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,All beds,4850,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,Undefined,1293,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,2 beds,59,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,3 beds,329,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,4 beds,626,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,5 beds,586,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,All beds,2181,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,Undefined,550,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,2 beds,1445,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,3 beds,1016,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,4 beds,844,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,5 beds,599,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,All beds,7877,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,Undefined,2199,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,2 beds,1243,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,3 beds,449,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,4 beds,124,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,All beds,4850,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,Undefined,1293,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,2 beds,202,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,3 beds,567,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,4 beds,720,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,5 beds,599,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,All beds,3027,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,Undefined,906,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,2 beds,1579,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,3 beds,1434,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,4 beds,1073,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,5 beds,674,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,All beds,9363,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,All property types,Undefined,2824,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,1 bed,1462,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,2 beds,1243,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,3 beds,449,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,4 beds,124,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,All beds,4850,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Apartment / Duplex,Undefined,1293,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,2 beds,336,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,3 beds,985,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,4 beds,949,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,5 beds,674,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,All beds,4513,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2025,Villa / Townhouse,Undefined,1531,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,1 bed,2314,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,2 beds,1823,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,3 beds,1538,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,4 beds,1073,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,5 beds,674,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,All beds,12143,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,All property types,Undefined,4404,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,1 bed,2314,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,2 beds,1487,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,3 beds,553,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,4 beds,124,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,All beds,7122,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,Studio,279,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Apartment / Duplex,Undefined,2365,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Villa / Townhouse,2 beds,336,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Villa / Townhouse,3 beds,985,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Villa / Townhouse,4 beds,949,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Villa / Townhouse,5 beds,674,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Villa / Townhouse,All beds,5021,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2026,Villa / Townhouse,Undefined,2039,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,1 bed,2768,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,2 beds,1971,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,3 beds,1717,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,4 beds,1115,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,5 beds,683,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,All beds,13594,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,Studio,466,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,All property types,Undefined,4836,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,1 bed,2768,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,2 beds,1620,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,3 beds,709,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,4 beds,165,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,All beds,8115,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,Studio,466,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Apartment / Duplex,Undefined,2378,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Villa / Townhouse,2 beds,351,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Villa / Townhouse,3 beds,1008,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Villa / Townhouse,4 beds,950,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Villa / Townhouse,5 beds,674,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Villa / Townhouse,All beds,5479,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2027,Villa / Townhouse,Undefined,2458,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,1 bed,4191,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,2 beds,2943,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,3 beds,2201,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,4 beds,1221,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,5 beds,744,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,6 beds,64,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,All beds,17421,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,Studio,1185,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,All property types,Undefined,4849,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,1 bed,4191,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,2 beds,2576,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,3 beds,1148,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,4 beds,202,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,All beds,11692,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,Studio,1185,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Apartment / Duplex,Undefined,2378,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,2 beds,367,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,3 beds,1053,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,4 beds,1019,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,5 beds,732,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,6 beds,64,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,All beds,5729,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2028,Villa / Townhouse,Undefined,2471,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,AL REEM ISLAND,57,2022,All property types,1 bed,11089,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2022,All property types,2 beds,8376,14025.183842866346822,12889332.855498872697353
